channel_id,sequence,send_height,send_time,ack_height,ack_time,block_delay,fee_amount,fee_denom,time_delay_sec
channel-0,4043543,30489801,2025-02-27 23:23:29.314206,30489832.0,2025-02-27 23:24:07.499599,31.0,,,38.185393
channel-208,1492564,30489803,2025-02-27 23:23:31.462605,30489813.0,2025-02-27 23:23:42.479486,10.0,,,11.016881
channel-874,294354,30489805,2025-02-27 23:23:33.650861,30489811.0,2025-02-27 23:23:40.250630,6.0,,,6.599769
channel-326,539444,30489811,2025-02-27 23:23:40.250630,30489826.0,2025-02-27 23:23:57.739369,15.0,,,17.488739
channel-750,688677,30489821,2025-02-27 23:23:51.185121,30489834.0,2025-02-27 23:24:10.210259,13.0,,,19.025138
channel-2494,32081,30489826,2025-02-27 23:23:57.739369,30489833.0,2025-02-27 23:24:08.573557,7.0,,,10.834188
channel-6994,1328329,30489833,2025-02-27 23:24:08.573557,30489874.0,2025-02-27 23:25:02.068243,41.0,,,53.494686
channel-874,294355,30489836,2025-02-27 23:24:12.415226,30489842.0,2025-02-27 23:24:20.351291,6.0,,,7.936065
channel-4,167287,30489869,2025-02-27 23:24:55.432451,30489880.0,2025-02-27 23:25:10.008109,11.0,,,14.575658
channel-75,845995,30489873,2025-02-27 23:25:00.984329,30489888.0,2025-02-27 23:25:23.244589,15.0,,,22.26026
channel-874,294356,30489877,2025-02-27 23:25:06.454929,30489882.0,2025-02-27 23:25:12.263067,5.0,,,5.808138
channel-326,539445,30489878,2025-02-27 23:25:07.669293,30489895.0,2025-02-27 23:25:32.069442,17.0,,,24.400149
channel-6994,1328330,30489890,2025-02-27 23:25:26.563427,30489928.0,2025-02-27 23:26:13.022838,38.0,,,46.459411
channel-208,1492565,30489903,2025-02-27 23:25:41.955431,30489915.0,2025-02-27 23:25:57.573406,12.0,,,15.617975
channel-874,294357,30489904,2025-02-27 23:25:44.074483,30489909.0,2025-02-27 23:25:51.109081,5.0,,,7.034598
channel-326,539446,30489932,2025-02-27 23:26:22.530708,30489960.0,2025-02-27 23:26:53.444087,28.0,,,30.913379
channel-874,294358,30489940,2025-02-27 23:26:31.499288,30489947.0,2025-02-27 23:26:39.397505,7.0,,,7.898217
channel-6994,1328331,30489962,2025-02-27 23:26:55.575381,30489997.0,2025-02-27 23:27:38.128995,35.0,,,42.553614
